symptoms,disease
"Started with fatigue and low energy, now I also feel loss of interest in hobbies.",Depression
Experiencing nausea along with abdominal pain under ribs.,Hepatitis A
Itching in anal area,Dimorphic hemorrhoids(piles)
I feel lower pelvic pain and cloudy foul urine.,Urinary tract infection
"Started with painful bowel movements, now I also feel rectal bleeding.",Dimorphic hemorrhoids(piles)
I have skin plaques and itchy elbows.,Psoriasis
Silver scaly patches,Psoriasis
Dealing with severe frequent urge to urinate and burning sensation during urination.,Urinary tract infection
I feel spider veins and swollen purple veins on legs.,Varicose veins
Nausea and pain behind eyes which is getting worse.,Dengue
I've been suffering from congested sinus and dry cough for a few days.,Common Cold
Headache,(vertigo) Paroxysmal Positional Vertigo
"Started with constant crying spells, now I also feel feeling empty and hopeless.",Depression
Experiencing throbbing headache along with nausea.,Migraine
Fatigue and dark tea colored urine which is getting worse.,Jaundice
Nosebleeds,Hypertension
I feel sneezing and mild fever.,Common Cold
"Started with blackheads, now I also feel inflamed red bumps.",Acne
Dealing with severe rapid weight loss and racing heart rate.,Hyperthyroidism
Dealing with severe jaundice after heavy drinking and fatigue.,Alcoholic hepatitis
I've been suffering from chest pain when breathing and shortness of breath for a few days.,Pneumonia
I've been suffering from warm red joints and joint inflammation for a few days.,Arthritis
I've been suffering from fatigue and abdominal swelling for a few days.,Hepatitis C
Dealing with severe cystic breakouts and blackheads.,Acne
I feel anal lumps and itching in anal area.,Dimorphic hemorrhoids(piles)
Dealing with severe joint stiffness in morning and hip joint stiffness.,Osteoarthritis
I feel unexplained weight gain and constant fatigue.,Hypothyroidism
Dealing with severe headache and muscle ache and high fever with chills.,Malaria
High fever,Dengue
Experiencing severe headache along with nosebleeds.,Hypertension
I have unable to fall asleep and staying awake at night.,Insomnia
"Started with swollen purple veins on legs, now I also feel aching heavy legs.",Varicose veins
Silver scaly patches and dry cracked skin which is getting worse.,Psoriasis
I've been suffering from itchy elbows and skin plaques for a few days.,Psoriasis
Difficulty walking,Paralysis (brain hemorrhage)
