symptoms,department
Dealing with unbearable irregular heartbeats for over a week,Cardiology
My loss of smell has been constant for the past few days,ENT
I have had breathlessness during walking when I wake up,Cardiology
Complaining of lightheadedness and sweating,Cardiology
I feel nausea and vomiting for over a week,General Medicine
Toothache at night,Dentistry
My double vision has been intermittent at night,Neurology
Kids sore throat causing discomfort,Pediatrics
I feel lower back pain when I wake up,Orthopedics
My bedwetting issues has been intermittent especially after meals,Pediatrics
Dealing with sharp skin peeling for over a week,Dermatology
Dealing with dull gum recession especially after meals,Dentistry
Hot flashes for the past few days,Gynecology
fractured wrist,Orthopedics
Suffering from hair thinning,Dermatology
Nasal congestion at night,ENT
Child has chickenpox spots with mild sweating,Pediatrics
pressure in my chest,Cardiology
I have had stiff neck and numbness,Neurology
My heart pounding has been severe especially after meals,Cardiology
I feel plaque buildup and it makes me anxious,Dentistry
Dealing with throbbing blood pressure screening and it makes me anxious,General Medicine
Dealing with severe pressure in my chest for the past few days,Cardiology
Experiencing constant sneezing which is getting worse,ENT
cavity in molar,Dentistry
Experiencing hip discomfort when walking off and on,Orthopedics
I have had social anxiety at night,Psychiatry
Experiencing gingivitis symptoms and it makes me anxious,Dentistry
I have nausea and vomiting which is constant,General Medicine
My sore throat has been throbbing and it makes me anxious,ENT
I have baby is crying constantly which is unbearable,Pediatrics
toddler refusing to eat,Pediatrics
eating disorder behaviors,Psychiatry
I feel plaque buildup which is getting worse,Dentistry
Suffering from wart on my finger,Dermatology
jaw pain when chewing,Dentistry
I feel swollen glands in neck when I wake up,ENT
I have had child has high fever,Pediatrics
Dealing with sharp panic attacks for the past few days,Psychiatry
Dealing with joint pain in my knee at night,Orthopedics
I've been having eczema flare up,Dermatology
pediatric eczema,Pediatrics
tremor in my hands,Neurology
Postmenopausal bleeding at night,Gynecology
Experiencing earache since this morning,ENT
Red itchy skin rash with mild sweating,Dermatology
Experiencing joint pain in my knee off and on,Orthopedics
throat pain,ENT
I have sinusitis headache which is constant,ENT
Experiencing suicidal thoughts which is getting worse,Psychiatry
double vision,Neurology
I have bedwetting issues which is intermittent,Pediatrics
I am experiencing hearing loss,ENT
I feel baby has diaper rash for over a week,Pediatrics
shaking fingers,Neurology
yellowing nails,Dermatology
Suffering from swollen glands in neck,ENT
I have cracking sound in joints which is severe,Orthopedics
Experiencing eating disorder behaviors when I wake up,Psychiatry
I have had irregular periods especially after meals,Gynecology
pregnancy morning sickness,Gynecology
I have extreme mood swings which is constant,Psychiatry
I've been having hoarse voice,ENT
Dealing with dull bone ache especially during exercise,Orthopedics
I feel dehydration with mild sweating,General Medicine
Experiencing swollen ankle joint since this morning,Orthopedics
I feel throat pain since this morning,ENT
My child has asthma wheezing has been throbbing causing discomfort,Pediatrics
Lately I have cystic acne when I wake up,Dermatology
I feel difficulty bending my knee which is getting worse,Orthopedics
I have menstrual mood swings which is unbearable,Gynecology
Experiencing stomach ache at night,General Medicine
Yellowing nails which is getting worse,Dermatology
Viral fever causing discomfort,General Medicine
Food poisoning symptoms causing discomfort,General Medicine
I have had baby has congestion,Pediatrics
sore under dentures,Dentistry
I have excessive bleeding during cycle which is unbearable,Gynecology
Dealing with persistent shortness of breath especially after meals,Cardiology
I have fungal infection on toes which is nagging,Dermatology
Chronic stress which is getting worse,Psychiatry
I feel newborn jaundice which is getting worse,Pediatrics
I feel toddler has runny nose and cough when I wake up,Pediatrics
panic attacks,Psychiatry
My eating disorder behaviors has been severe since this morning,Psychiatry
Earache for the past few days,ENT
I have racing thoughts and worry which is severe,Psychiatry
I am experiencing eczema flare up for the past few days,Dermatology
Experiencing cardiac fatigue since this morning,Cardiology
Lately I have vaccination reaction in baby,Pediatrics
I am experiencing child has asthma wheezing with mild sweating,Pediatrics
Dealing with persistent pregnancy morning sickness off and on,Gynecology
earache,ENT
I have hoarse voice which is unbearable,ENT
My difficulty speaking clearly has been dull at night,Neurology
Fatigue and body weakness at night,General Medicine
Dealing with intermittent runny nose especially after meals,ENT
My mild diarrhea has been throbbing causing discomfort,General Medicine
My loose tooth has been mild and it makes me anxious,Dentistry
I've been having vaginal discharge and itching,Gynecology
Dealing with mild racing thoughts and worry especially during exercise,Psychiatry
Experiencing loss of interest in activities especially during exercise,Psychiatry
I have mild diarrhea which is constant,General Medicine
hearing loss,ENT
toddler has runny nose and cough,Pediatrics
mole changes shape,Dermatology
I have severe menstrual cramps which is throbbing,Gynecology
I have had chronic nerve pain for over a week,Neurology
My headache and body pain has been severe for over a week,General Medicine
Experiencing difficulty bending my knee when I wake up,Orthopedics
Shortness of breath when I wake up,Cardiology
Skin peeling when I wake up,Dermatology
