symptoms,department
"Started with fatigue and low energy, now I also feel loss of interest in hobbies.",Psychiatry
Experiencing nausea along with abdominal pain under ribs.,General Medicine
Itching in anal area,General Medicine
I feel lower pelvic pain and cloudy foul urine.,Gynecology
"Started with painful bowel movements, now I also feel rectal bleeding.",General Medicine
I have skin plaques and itchy elbows.,Dermatology
Silver scaly patches,Dermatology
Dealing with severe frequent urge to urinate and burning sensation during urination.,Gynecology
I feel spider veins and swollen purple veins on legs.,General Medicine
Nausea and pain behind eyes which is getting worse.,General Medicine
I've been suffering from congested sinus and dry cough for a few days.,ENT
Headache,Neurology
"Started with constant crying spells, now I also feel feeling empty and hopeless.",Psychiatry
Experiencing throbbing headache along with nausea.,Neurology
Fatigue and dark tea colored urine which is getting worse.,General Medicine
Nosebleeds,Cardiology
I feel sneezing and mild fever.,ENT
"Started with blackheads, now I also feel inflamed red bumps.",Dermatology
Dealing with severe rapid weight loss and racing heart rate.,General Medicine
Dealing with severe jaundice after heavy drinking and fatigue.,General Medicine
I've been suffering from chest pain when breathing and shortness of breath for a few days.,General Medicine
I've been suffering from warm red joints and joint inflammation for a few days.,Orthopedics
I've been suffering from fatigue and abdominal swelling for a few days.,General Medicine
Dealing with severe cystic breakouts and blackheads.,Dermatology
I feel anal lumps and itching in anal area.,General Medicine
Dealing with severe joint stiffness in morning and hip joint stiffness.,Orthopedics
I feel unexplained weight gain and constant fatigue.,General Medicine
Dealing with severe headache and muscle ache and high fever with chills.,General Medicine
High fever,General Medicine
Experiencing severe headache along with nosebleeds.,Cardiology
I have unable to fall asleep and staying awake at night.,Psychiatry
"Started with swollen purple veins on legs, now I also feel aching heavy legs.",General Medicine
Silver scaly patches and dry cracked skin which is getting worse.,Dermatology
I've been suffering from itchy elbows and skin plaques for a few days.,Dermatology
Difficulty walking,Neurology
Complaining of tooth nerve throbbing together with pain when chewing.,Dentistry
I have heavy period bleeding and lower abdominal pain.,Gynecology
Dealing with severe vertigo and headache.,Neurology
I have cracking knee joint and hip joint stiffness.,Orthopedics
Dealing with severe warm red joints and stiff fingers.,Orthopedics
